Table: Table_1

2018-2019 ,5/16/199 9:55 AM ,Student was being unsafe in fishbowl. Aggressive towards staff and student. Escorted to timeout. Banging head in time out. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/17/19 8:35 AM ,X became aggressive towards staff after he was asked to eat breakfast in alternate location because of his behavior. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/21/19 8:23 AM ,Student was unsafe in class and kicked another student and tried to block him from entering class. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/21/19 8:37 AM ,Student began banging head repeatedly in timeout. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/21/19 8:45 AM ,Student became unsafe at fire drill . Attempted to elope then became physical towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/21/19 9:47 AM ,Student began banging his head hard while in timeout. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/21/19 11:13 AM ,X tried to elope from hallway and was escorted to timeout where he began banging his head. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/22/19 12:08 PM ,Banging head in time out - repeatedly ,Intervention: Time Out (minutes) ,
2018-2019 ,5/23/19 11:08 AM ,Student was being unsafe, running from staff in hall. When staff asked him to go back to class he became physical. Banging head while in time out. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/3/19 12:37 PM ,was unsafe in timeout, repeatedly banging head. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/10/19 10:00 AM ,Student was unable to remain safe in classroom environment. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/10/19 10:05 AM ,Student repeatedly banging head while in timeout. Became physical with staff in room. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/13/19 9:30 AM ,Throwing objects at students, refused to walk to timeout. Head banging in timeout. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/13/19 11:55 AM ,was unsafe in fishbowl began going after students in area. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/18/19 1:50 PM ,Completed part of math assignment, given choice snack. No longer interested in snack, found stick in class and began playing with it. Staff removed stick and student became aggressive. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/19/19 8:27 AM ,Unsure if he wanted breakfast. Staff left breakfast on his desk. He started yelling and hitting staff and threw books. Jayden was escorted to time out. ,Intervention: Time Out (minutes) ,





